AÑO,"MES","DEPARTAMENTO ","LUGAR DEL HECHO","ARMA EMPLEADA",EDAD DE LA VÍCTIMA,"SEXO DEL AUTOR 1","SEXO DEL AUTOR 2","EDAD DEL AUTOR 1","EDAD DEL AUTOR 2","VÍNCULO"
2019,"DICIEMBRE","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",18,"VARÓN","N/A","39","NULL","FAMILIAR"
2019,"DICIEMBRE","PAYSANDÚ","RESIDENCIA","ARMA DE FUEGO",44,"VARÓN","N/A","46","NULL","PAREJA / EXPAREJA"
2019,"DICIEMBRE","ARTIGAS","RESIDENCIA","ARMA CORTOPUNZANTE",17,"VARÓN","N/A","29","NULL","PAREJA / EXPAREJA"
2020,"ENERO","SORIANO","VÍA PÚBLICA","FUERZA FÍSICA",56,"VARÓN","N/A","50","NULL","PAREJA / EXPAREJA"
2020,"FEBRERO","FLORIDA","RESIDENCIA","FUERZA FÍSICA",29,"VARÓN","N/A","25","NULL","PAREJA / EXPAREJA"
2020,"MARZO","MALDONADO","VÍA PÚBLICA","SIN DATO",65,"VARÓN","N/A","56","NULL","PAREJA / EXPAREJA"
2020,"MARZO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",20,"VARÓN","N/A","32","NULL","PAREJA / EXPAREJA"
2020,"MARZO","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",77,"VARÓN","N/A","77","NULL","PAREJA / EXPAREJA"
2020,"MAYO","ROCHA","VÍA PÚBLICA","ARMA DE FUEGO",8,"VARÓN","N/A","36","NULL","FAMILIAR"
2020,"MAYO","TACUAREMBÓ","RESIDENCIA","ARMA DE FUEGO",79,"VARÓN","N/A","45","NULL","FAMILIAR"
2020,"JUNIO","RIVERA","RESIDENCIA","ARMA DE FUEGO",57,"VARÓN","N/A","56","NULL","PAREJA / EXPAREJA"
2020,"JUNIO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",38,"VARÓN","N/A","34","NULL","PAREJA / EXPAREJA"
2020,"JULIO","RIVERA","RESIDENCIA","ARMA CORTOPUNZANTE",14,"VARÓN","N/A","33","NULL","AFECTIVO / SEXUAL"
2020,"JULIO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",1,"VARÓN","N/A","36","NULL","FAMILIAR"
2020,"AGOSTO","CANELONES","VÍA PÚBLICA","ARMA DE FUEGO",54,"VARÓN","N/A","69","NULL","PAREJA / EXPAREJA"
2020,"AGOSTO","ROCHA","RESIDENCIA","ARMA DE FUEGO",72,"VARÓN","N/A","83","NULL","PAREJA / EXPAREJA"
2020,"AGOSTO","FLORIDA","RESIDENCIA","ARMA CORTOPUNZANTE",34,"VARÓN","N/A","41","NULL","PAREJA / EXPAREJA"
2020,"DICIEMBRE","MALDONADO","VÍA PÚBLICA","FUERZA FÍSICA",32,"VARÓN","N/A","37","NULL","PAREJA / EXPAREJA"
2020,"DICIEMBRE","SALTO","RESIDENCIA","ARMA DE FUEGO",33,"VARÓN","N/A","32","NULL","AFECTIVO / SEXUAL"
2020,"DICIEMBRE","MONTEVIDEO","RESIDENCIA","OTROS MEDIOS",65,"MUJER","N/A","35","NULL","FAMILIAR"
2020,"DICIEMBRE","MONTEVIDEO","RESIDENCIA","OTROS MEDIOS",21,"MUJER","N/A","35","NULL","FAMILIAR"
2020,"DICIEMBRE","DURAZNO","RESIDENCIA","OBJETO PESADO",57,"VARÓN","N/A","31","NULL","FAMILIAR"
2021,"ENERO","CANELONES","SIN DATO","ARMA DE FUEGO",27,"VARÓN","N/A","27","NULL","PAREJA / EXPAREJA"
2021,"FEBRERO","MONTEVIDEO","VÍA PÚBLICA","ARMA DE FUEGO",25,"VARÓN","N/A","25","NULL","PAREJA / EXPAREJA"
2021,"FEBRERO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",29,"VARÓN","N/A","23","NULL","PAREJA / EXPAREJA"
2021,"FEBRERO","CERRO LARGO","RESIDENCIA","ARMA CORTOPUNZANTE",23,"VARÓN","N/A","26","NULL","PAREJA / EXPAREJA"
2021,"MARZO","CANELONES","VÍA PÚBLICA","ARMA DE FUEGO",43,"VARÓN","N/A","45","NULL","PAREJA / EXPAREJA"
2021,"MARZO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",31,"VARÓN","N/A","40","NULL","PAREJA / EXPAREJA"
2021,"ABRIL","TACUAREMBÓ","RESIDENCIA","ARMA CORTOPUNZANTE",60,"VARÓN","N/A","66","NULL","PAREJA / EXPAREJA"
2021,"MAYO","MONTEVIDEO","RESIDENCIA","ARMA CORTOPUNZANTE",37,"VARÓN","N/A","34","NULL","AFECTIVO / SEXUAL"
2021,"MAYO","MONTEVIDEO","RESIDENCIA","FUERZA FÍSICA",75,"MUJER","N/A","43","NULL","FAMILIAR"
2021,"JUNIO","TACUAREMBÓ","RESIDENCIA","ARMA CORTOPUNZANTE",18,"VARÓN","N/A","23","NULL","PAREJA / EXPAREJA"
2021,"JUNIO","ARTIGAS","RESIDENCIA","ARMA DE FUEGO",11,"MUJER","N/A","45","NULL","FAMILIAR"
2021,"JUNIO","RÍO NEGRO","RESIDENCIA","ARMA CORTOPUNZANTE",38,"VARÓN","N/A","37","NULL","PAREJA / EXPAREJA"
2021,"JUNIO","CANELONES","RESIDENCIA","ARMA DE FUEGO",51,"VARÓN","N/A","62","NULL","PAREJA / EXPAREJA"
